contention_mode,prediction_accuracy,p95_reduction_pct,mean_tool_cost_multiplier,wasted_call_rate,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,extra_metrics
cancellable,0.9,17.61049302483401,1.0303060000000002,0.10102,1436.3331256517395,1097.4832752251912,1.308751721393677,2049.1839250199027,1657.184096075824,1.2365457343407567,2266.9646823215844,1867.7410250658913,1.2137467946026452,2753.072867826384,2313.2142144527934,1.190150419544107,1494.8147586055109,1164.1388878203704,1.2840519067310503,1.0,1.0,0.0,1.0303060000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.9}
cancellable,0.9500000000000001,19.922583582716204,1.014736,0.04912,1435.0378012022265,1081.9630387269715,1.3263279334298517,2038.9094960082655,1604.407424333824,1.2708177892251113,2261.7853785691264,1811.179296062038,1.2487915379150039,2749.406270269669,2257.6282589168486,1.2178294896028468,1492.2763688608854,1141.7442730669775,1.3070145426280977,1.0,1.0,0.0,1.014736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 0.9500000000000001}
cancellable,1.0,22.268528591694782,1.0,0.0,1432.5332815007464,1065.2879199641552,1.3447381263357874,2050.0005459478684,1569.7252647619005,1.305961362773133,2277.5638601410133,1770.3839007514043,1.2864802143616119,2802.4932981134734,2234.947404170521,1.2539414989739284,1495.471554658507,1123.8122160755743,1.330713025954453,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'cancellable', 'accuracy': 1.0}
single_slot,0.0,-16.414402847888052,2.0,1.0,1436.9272451438942,1722.0944928608076,0.8344067361581402,2046.7439068695962,2401.98865571789,0.8521039023216699,2267.9656387332216,2640.23865512657,0.8590002401220422,2752.300728789546,3194.869393747654,0.8614751933759129,1493.625539278562,1789.290457489928,0.8347585675798361,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.0}
single_slot,0.05,-15.999781546264286,1.95006,0.95006,1434.8427432023786,1697.7822144805255,0.8451276794894456,2047.3082312134413,2382.671038400757,0.8592492199794352,2269.6252198512743,2632.7602969463987,0.8620705889874191,2773.2204907032715,3171.9989451973865,0.8742816560207589,1494.0739592210293,1754.8655840145034,0.8513894014623751,1.0,1.0,0.0,1.95006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.05}
single_slot,0.1,-15.107615485545569,1.89908,0.89908,1433.087436970908,1672.4756610578493,0.8568659445031761,2052.1225264354566,2367.6629283142606,0.8667291707340015,2274.6530303103186,2618.298863759912,0.868752250476054,2765.44527255016,3180.4345077701023,0.8695180692430282,1495.6027185711825,1722.8468992745475,0.8680996083871106,1.0,1.0,0.0,1.89908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.1}
single_slot,0.15000000000000002,-14.161595112236824,1.84622,0.84622,1435.343593940554,1639.774093733552,0.8753300832265642,2042.7816113176855,2335.9834315297826,0.8744846319307642,2265.5636021098935,2586.4035464509047,0.8759513205967909,2764.9912995889936,3116.3019326739504,0.887266817954474,1494.0539006407082,1684.7623727598477,0.8868039343692513,1.0,1.0,0.0,1.84622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.15000000000000002}
single_slot,0.2,-12.511085178094493,1.80126,0.80126,1431.088213469655,1611.744271231175,0.8879127036552016,2051.2029661150254,2328.8694115276476,0.8807719986195002,2285.1890285922523,2571.090974439899,0.8888013109260245,2781.9061020347503,3131.6214026993944,0.8883277204699149,1493.0838134572766,1655.1934250155205,0.9020600196277823,1.0,1.0,0.0,1.80126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.2}
single_slot,0.25,-12.51346970943476,1.74764,0.74764,1433.2076207616228,1576.9748700587588,0.9088335191468339,2043.395362855894,2295.093862427686,0.8903319364439621,2258.486856399176,2541.101925066252,0.8887824742961824,2753.270521221076,3075.573800550823,0.8952054802677719,1492.8924993534445,1618.0663754072052,0.9226398385404558,1.0,1.0,0.0,1.74764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.25}
single_slot,0.30000000000000004,-11.328811039855976,1.6992,0.6992,1434.9031066211464,1540.8228279997402,0.9312576894281245,2040.8013284947112,2269.4241072531568,0.8992595619180394,2261.2985737455824,2517.4768162121777,0.8982400787896654,2740.545744419124,3054.881664399637,0.8971037328078342,1491.010690019375,1584.4549424046024,0.9410243548842011,1.0,1.0,0.0,1.6992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.30000000000000004}
single_slot,0.35000000000000003,-9.877600244730777,1.64856,0.64856,1435.825723694778,1511.2685601740036,0.9500797949038658,2053.1804286754436,2256.3077247547476,0.90997358478601,2281.8807401697673,2507.2757977452407,0.9101036041674522,2789.5198045057737,3065.399930518809,0.9100019141820939,1495.5165846887553,1556.6268233985406,0.9607418825172465,1.0,1.0,0.0,1.64856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.35000000000000003}
single_slot,0.4,-8.832084655452276,1.5977,0.5977,1435.6623078134885,1467.4357062337915,0.9783476725519715,2050.5551067924275,2228.4471764654636,0.9201721846711258,2281.1775452970705,2482.653077238876,0.9188466830952153,2762.5684524418284,3011.6330120249086,0.9172991667349208,1494.953066108014,1520.988009475934,0.9828828740228593,1.0,1.0,0.0,1.5977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.4}
single_slot,0.45,-7.462543695009324,1.54838,0.54838,1432.0562684001459,1426.837057587288,1.0036578884639311,2047.5928006986703,2196.7298896275474,0.9321095007478761,2277.8089649273547,2447.791454223898,0.9305567927352543,2766.652817296774,3013.4606539912115,0.9180982050097286,1493.0748881996692,1488.7799463152614,1.0028848735469857,1.0,1.0,0.0,1.54838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'single_slot', 'accuracy': 0.45}
